                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1882,                 7.4414,                 1.9057,                0.00122,                0.36571,                0.02077,                 0.0058,                 2.9126,                  8.616,                 1.3655,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.7523,                 6.8244,                 1.4371,                0.00116,                0.34857,                0.01915,                0.00469,                 2.5178,                 7.8824,                 1.2365,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.7016,                 5.8468,                 1.4338,                0.00088,                0.26286,                0.01611,                0.00255,                 2.6897,                 7.8059,                 1.1849,             0.00062733,             0.00062733,             0.00062733
                      4,                   2.53,                 5.3632,                  1.373,                0.00105,                0.31429,                0.00502,                0.00139,                 2.5022,                 7.4744,                 1.1986,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.5535,                 5.0568,                 1.3532,                0.00044,                0.13143,                0.00028,                 0.0001,                 2.7752,                 7.5178,                 1.3489,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.5489,                 4.5633,                 1.3781,                0.00124,                0.37143,                0.02416,                0.01196,                 2.5547,                 6.7798,                 1.2231,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.3647,                 4.2671,                 1.2688,                0.00175,                0.52571,                0.11761,                0.03507,                 2.5579,                  6.342,                 1.2306,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.4628,                 4.3913,                 1.3307,                 0.6387,                0.27276,                0.34755,                0.11417,                 2.4445,                 5.1864,                  1.202,              0.0016194,              0.0016194,              0.0016194
                      9,                   2.17,                 3.4577,                 1.1969,                 0.6991,                0.06857,                0.10251,                0.04339,                 2.4936,                 6.0227,                 1.2259,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.4654,                 3.9839,                 1.2541,                0.39536,                0.20571,                0.19515,                0.07204,                 2.3241,                  5.449,                 1.1655,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3429,                 3.5758,                 1.2612,                0.26997,                0.20571,                0.18611,                 0.0749,                 2.2269,                 5.7606,                 1.1759,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1732,                 3.0944,                 1.2306,                0.55354,                0.46857,                 0.4083,                 0.1641,                   2.22,                 3.9529,                 1.1424,               0.001802,               0.001802,               0.001802
                     13,                 1.9828,                   2.73,                 1.1623,                0.52894,                0.51429,                0.49591,                0.17638,                 2.1921,                 3.2888,                 1.1474,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.9916,                 2.7707,                 1.1946,                0.56278,                0.44571,                0.44468,                0.17317,                 2.1222,                 3.2442,                 1.1595,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0836,                 2.5815,                 1.1898,                0.17727,                0.15429,                 0.0983,                0.03894,                   2.39,                 5.3658,                 1.1907,              0.0017426,              0.0017426,              0.0017426
